ord,emm,mun,yr,dextra,edon,inegi,ife,part,dmujer,incumbent,race.after,runnerup,part2nd,mg,ddied,drepe,drepg,dlegacy,who,prior.inc.part,inc.part.after,notes,source
5,ags-11.001,AGUASCALIENTES,2001,0,1,1001,1001,pan,0,RICARDO MAGDALENO RODRIGUEZ,Term-limited-p-won,,pri,0.158588265,0,0,0,,,incumbent out,incumbent out,,
6,ags-12.001,AGUASCALIENTES,2004,0,1,1001,1001,pan,0,MARTIN OROZCO SANDOVAL,Term-limited-p-lost,,pri-pvem-pt,0.018799969,0,0,0,,,incumbent out,incumbent out,,
7,ags-13.001,AGUASCALIENTES,2007,0,1,1001,1001,pri,0,FRANCISCO GABRIEL ARELLANO ESPINOSA,Term-limited-p-won,ARTURO GONZALEZ ESTRADA,pan-pna,0.028511587,0,0,0,,,incumbent out,incumbent out,,
8,ags-14.001,AGUASCALIENTES,2010,0,1,1001,1001,pri-pvem-pna,1,LORENA MARTINEZ RODRIGUEZ,Term-limited-p-lost,FERNANDO HERRERA AVILA,pan,0.214409673,0,0,0,,,incumbent out,incumbent out,,
9,ags-15.001,AGUASCALIENTES,2013,0,1,1001,1001,pan,0,JUAN ANTONIO MARTIN DEL CAMPO,Term-limited-p-won,FRANCISCO CHAVEZ RANGEL,pri,0.053608144,0,0,0,,,incumbent out,incumbent out,,
10,ags-16.001,AGUASCALIENTES,2016,0,1,1001,1001,pan,1,MARIA TERESA JIMENEZ ESQUIVEL,Reelected,JOSE DE JESUS RIOS ALBA,pri-pt-pna,0.087160233,0,0,0,,,incumbent out,pan,,
11,ags-17.001,AGUASCALIENTES,2019,0,1,1001,1001,pan,1,MARIA TERESA JIMENEZ ESQUIVEL,Term-limited-p-won,FRANCISCO ARTURO FEDERICO AVILA ANAYA,morena,0.277917756,0,1,1,,,pan,incumbent out,elected governor 5jun2022,
12,ags-18.001,AGUASCALIENTES,2021,0,1,1001,1001,pan-prd,0,LEONARDO MONTAÑEZ CASTRO,Reelected,FRANCISCO ARTURO FEDERICO AVILA ANAYA,pt-morena-pna,0.30630164,0,0,0,,,incumbent out,2024,,
13,ags-19.001,AGUASCALIENTES,2024,0,1,1001,1001,pan-pri-prd,0,LEONARDO MONTAÑEZ CASTRO,Term-limited-2027,MARTHA CECILIA MARQUEZ ALVARADO,morena,0.341612178,,,,,,,,,computos pre trife
18,ags-11.002,ASIENTOS,2001,0,1,1002,1002,pri,0,RAUL REYES MACIAS,Term-limited-p-lost,,pan,0.041323702,0,0,0,,,incumbent out,incumbent out,,
19,ags-12.002,ASIENTOS,2004,0,1,1002,1002,pan,0,SALVADOR DAVILA MONTOYA,Term-limited-p-lost,,prd-conve,0.204080221,0,0,0,,,incumbent out,incumbent out,,
20,ags-13.002,ASIENTOS,2007,0,1,1002,1002,pri,0,JOSE LUIS REYES MEDINA,Term-limited-p-won,,pan-pna,0.096589413,0,0,0,,,incumbent out,incumbent out,,
21,ags-14.002,ASIENTOS,2010,0,1,1002,1002,pri-pvem-pna,0,BAUDELIO ESPARZA REYES,Term-limited-p-won,,pan,0.043161272,0,0,0,,,incumbent out,incumbent out,,
22,ags-15.002,ASIENTOS,2013,0,1,1002,1002,pna,0,JOSE MANUEL GONZALEZ MOTA,Term-limited-p-won,JOSE LUIS (PELE) REYES,pri,0.110341045,0,0,0,,,incumbent out,incumbent out,,
23,ags-16.002,ASIENTOS,2016,0,1,1002,1002,pri-pt-pna,0,LORENZO MARTIN CARRILLO LARA,Out-p-lost,ARTURO CANDELAS RINCON,pan,0.224821187,0,0,0,,,incumbent out,incumbent out,,
24,ags-17.002,ASIENTOS,2019,0,1,1002,1002,morena,0,JUAN LUIS JASSO HERNANDEZ,Out-p-won,ANGELINA FRAUSTO EUVADE,pan,0.125538941,0,0,0,,,incumbent out,incumbent out,,
25,ags-18.002,ASIENTOS,2021,0,1,1002,1002,morena,0,JOSE MANUEL GONZALEZ MOTA,Reelected,DIANA KARINA VAZQUEZ LOPEZ,pan-prd,0.202906604,0,1,1,,,incumbent out,2024,,
26,ags-19.002,ASIENTOS,2024,0,1,1002,1002,pan-pri-prd,0,JOSE MANUEL GONZALEZ MOTA,Term-limited-2027,ULISES OZIEL GALINDO,morena,0.274963821,,,,,,,,,computos pre trife
31,ags-11.003,CALVILLO,2001,0,1,1003,1003,pri,0,JOSE DE JESUS ORTIZ MACIAS,Term-limited-p-lost,,pan,0.131214859,0,0,0,,,incumbent out,incumbent out,,
32,ags-12.003,CALVILLO,2004,0,1,1003,1003,pan,0,HUMBERTO GALLEGOS ESCOBAR,Term-limited-p-won,,prd-conve,0.214771364,0,0,0,,,incumbent out,incumbent out,,
33,ags-13.003,CALVILLO,2007,0,1,1003,1003,pan-pna,0,JESUS SOTO LOPEZ,Term-limited-p-won,,pri,0.040365854,0,0,0,,,incumbent out,incumbent out,,wikipedia
34,ags-14.003,CALVILLO,2010,0,1,1003,1003,pri-pvem-pna,0,JORGE ALBERTO MARTINEZ VILLALOBOS,Term-limited-p-lost,,pan,0.108606061,0,0,0,,,incumbent out,incumbent out,,
35,ags-15.003,CALVILLO,2013,0,1,1003,1003,pan,0,FRANCISCO JAVIER LUEVANO NUÑEZ,Term-limited-p-won,ISMAEL LANDEROS EUDAVE,pri,0.22858924,0,0,0,,,incumbent out,incumbent out,,
36,ags-16.003,CALVILLO,2016,0,1,1003,1003,pan,0,ADAN VALDIVIA LOPEZ,Reelected,ALMA CECILIA VALDIVIA HERNANDEZ,pri-pt-pna,0.215829489,0,0,0,,,incumbent out,pan,,
37,ags-17.003,CALVILLO,2019,0,1,1003,1003,pan,0,ADAN VALDIVIA LOPEZ,Term-limited-p-won,DANIEL LOPEZ PONCE,pla,0.194113871,0,1,1,,,pan,incumbent out,,
38,ags-18.003,CALVILLO,2021,0,1,1003,1003,pan-prd,0,DANIEL ROMO URRUTIA,Reelected,,morena,0.262278734,0,0,0,,,incumbent out,2024,,
39,ags-19.003,CALVILLO,2024,0,1,1003,1003,pan-pri-prd,0,DANIEL ROMO URRUTIA,Term-limited-2027,REYES ORTIZ CASTILLO,morena,0.313566936,,,,,,,,,computos pre trife
44,ags-11.004,COSIO,2001,0,1,1004,1004,pri,0,ARNULFO CERVANTES ADAME,Term-limited-p-lost,,pan,0.104441099,0,0,0,,,incumbent out,incumbent out,,
45,ags-12.004,COSIO,2004,0,1,1004,1004,pan,0,LAMBERTO ADAME OCON,Term-limited-p-lost,,pri-pvem-pt,0.109276871,0,0,0,,,incumbent out,incumbent out,,
46,ags-13.004,COSIO,2007,0,1,1004,1004,pri,0,ANDRES DE SANTIAGO DE LUNA,Term-limited-p-won,,pan-pna,0.125250167,0,0,0,,,incumbent out,incumbent out,,
47,ags-14.004,COSIO,2010,0,1,1004,1004,pri-pvem-pna,0,PABLO CORTES DE LA CRUZ,Term-limited-p-won,,pan,0.235970776,0,1,1,,,incumbent out,incumbent out,,
48,ags-15.004,COSIO,2013,0,1,1004,1004,pri,0,GUSTAVO PADILLA ADAME,Term-limited-p-lost,LAMBERTO ADAME OCON,pan,0.20745189,0,0,0,,,incumbent out,incumbent out,,
49,ags-16.004,COSIO,2016,0,1,1004,1004,indep,0,JUAN MANUEL VILLALPANDO ADAME,Reran-beaten,ESTHER GONZALEZ CORTEZ,pri-pt-pna,0.026981009,0,0,0,,,incumbent out,indep,,
50,ags-17.004,COSIO,2019,0,1,1004,1004,pvem,0,EUSEBIO ENRIQUE DELGADO ESPARZA,Reelected,SALVADOR TORRES AGUILAR,pri,0.030108049,0,0,0,,,indep,pvem,,
51,ags-18.004,COSIO,2021,0,1,1004,1004,pvem,0,EUSEBIO ENRIQUE DELGADO ESPARZA,Term-limited-p-lost,FRANCISCO JAVIER CORTES DE LA CRUZ,pan-prd,0.093139383,0,1,1,,,pvem,incumbent out,,
52,ags-19.004,COSIO,2024,0,1,1004,1004,indep,1,FRANCISCO JAVIER DOMINGUEZ LOPEZ,2027,JULIA ESMERALDA CARDONA NAVA,pan-pri-prd,0.007988461,,,,,,,,,computos pre trife
57,ags-11.005,JESUS MARIA,2001,0,1,1005,1005,pri,0,GILBERTO RODRIGUEZ DOMINGUEZ,Term-limited-p-lost,,pan,0.154569729,0,0,0,,,incumbent out,incumbent out,,
58,ags-12.005,JESUS MARIA,2004,0,1,1005,1005,pan,0,LUIS FERNANDO FLORES MARTINEZ,Term-limited-p-lost,,pri-pvem-pt,0.035316169,0,0,0,,,incumbent out,incumbent out,,
59,ags-13.005,JESUS MARIA,2007,0,1,1005,1005,pri,0,GREGORIO ZAMARRIPA DELGADO,Term-limited-p-won,,pan-pna,0.126806549,0,0,0,,,incumbent out,incumbent out,,
60,ags-14.005,JESUS MARIA,2010,0,1,1005,1005,pri-pvem-pna,0,MARTIN GERARDO CHAVEZ DE BOSQUE,Term-limited-p-lost,,pan,0.140385302,0,0,0,,,incumbent out,incumbent out,,
61,ags-15.005,JESUS MARIA,2013,0,1,1005,1005,pan,0,JOSE ANTONIO ARAMBULA LOPEZ,Term-limited-p-won,JORGE DELGADO DELGADO,pri,0.152162798,0,0,0,,,incumbent out,incumbent out,,
62,ags-16.005,JESUS MARIA,2016,0,1,1005,1005,pan,0,NOEL MATA ATILANO,Out-p-won,GILBERTO RODRIGUEZ DOMINGUEZ,pri-pt-pna,0.081150635,0,0,0,,,incumbent out,incumbent out,,
63,ags-17.005,JESUS MARIA,2019,0,1,1005,1005,pan,0,JOSE ANTONIO ARAMBULA LOPEZ,Reelected,JORGE RIOS CONTRERAS,indep,0.218050977,0,1,1,,,incumbent out,pan,,
64,ags-18.005,JESUS MARIA,2021,0,1,1005,1005,pan-prd,0,JOSE ANTONIO ARAMBULA LOPEZ,Term-limited-p-won,KARLA ARELY ESPINOZA ESPARZA,pt-morena-pna,0.220976418,0,1,1,,,pan,incumbent out,,
65,ags-19.005,JESUS MARIA,2024,0,1,1005,1005,pan-pri-prd,0,CESAR FERNANDO MEDINA CERVANTES,2027,MARIA DEL CARMEN GONZALEZ POSADAS,morena,0.447591966,,,,,,,,,computos pre trife
70,ags-11.006,PABELLON DE ARTEAGA,2001,0,1,1006,1006,pri,0,FELIPE DE JESUS ORTEGA SAUCEDO,Term-limited-p-lost,,pan,0.121552249,0,0,0,,,incumbent out,incumbent out,,
71,ags-12.006,PABELLON DE ARTEAGA,2004,0,1,1006,1006,pan,0,EDUARDO CONSTANTINO TORRES CAMPOS,Term-limited-p-won,,pri-pvem-pt,0.019155895,0,0,0,,,incumbent out,incumbent out,,
72,ags-13.006,PABELLON DE ARTEAGA,2007,0,1,1006,1006,pan-pna,0,ARTURO FERNANDEZ ESTRADA,Term-limited-p-won,,prd,0.012383212,0,0,0,,,incumbent out,incumbent out,,
73,ags-14.006,PABELLON DE ARTEAGA,2010,0,1,1006,1006,pri-pvem-pna,0,HECTOR RAUL GARCIA LUNA,Term-limited-p-won,,pan,0.270074422,0,0,0,,,incumbent out,incumbent out,,
74,ags-15.006,PABELLON DE ARTEAGA,2013,0,1,1006,1006,pna,0,SERGIO MORENO SERNA,Term-limited-p-lost,CIRO SILVA MUNGUIA,pri,0.035199636,0,0,0,,,incumbent out,incumbent out,,
75,ags-16.006,PABELLON DE ARTEAGA,2016,0,1,1006,1006,prd,0,CUAUHTEMOC ESCOBEDO TEJADA,Reelected,MARICELA PULIDO RUBALCAVA,pri-pt-pna,0.164480996,0,0,0,,,incumbent out,prd,,
76,ags-17.006,PABELLON DE ARTEAGA,2019,0,1,1006,1006,prd,0,CUAUHTEMOC ESCOBEDO TEJADA,Term-limited-p-lost,GENARO RAMON ANDRADE CASTORENA,morena,0.325623503,0,1,1,,,prd,incumbent out,,
77,ags-18.006,PABELLON DE ARTEAGA,2021,0,1,1006,1006,pri,0,HUMBERTO AMBRIZ DELGADILLO,Out-p-won,ARNULFO FLORES JIMENEZ,pan-prd,0.072399445,0,0,0,,,incumbent out,2024,,
78,ags-19.006,PABELLON DE ARTEAGA,2024,0,1,1006,1006,pan-pri-prd,1,LUCERO ESPINOZA VAZQUEZ,2027,CUAUHTEMOC ESCOBEDO TEJADA,pvem,0.158617424,,,,,,,,,computos pre trife
83,ags-11.007,RINCON DE ROMOS,2001,0,1,1007,1007,pvem,0,JOSE MANUEL VALDEZ GOMEZ,Term-limited-p-won,,pri,0.057316802,0,0,0,,,incumbent out,incumbent out,,
