party_name,candidate_name,candidate_id,deputy_name,has_details,detail_url
PAN,SANTIAGO CREEL MIRANDA,10801,JULIO CASTILLO LOPEZ,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10801
PAN,MARGARITA SALDAÑA HERNANDEZ,10805,MARIANA RANGEL GUERRERO,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10805
PAN,MAURICIO TABE ECHARTEA,10811,JOSE ANTONIO PATIÑO PASTRANA,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10811
PAN,KENIA LOPEZ RABADAN,10815,TERESITA VICENCIO ALVAREZ,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10815
PAN,CARLOS GELISTA GONZALEZ,10827,JOSE LUIS NIEVES BUENO,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10827
PAN,MARIA TERESA GOMEZ MONT Y URUETA,10833,LASKHMI PAOLA DE LA LANZA LUNA,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10833
PAN,GONZALO ALTAMIRANO DIMAS,,RICARDO RUBIO TORRES,False,
PAN,MARIA DEL CARMEN SEGURA RANGEL,10857,DULCE ESMERALDA MENDOZA FLORES,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10857
PAN,JOSE LUIS LUEGE TAMARGO,,FELIPE DE JESUS REBOLLO AGUILAR,False,
PAN,ALICIA GALVAN LOPEZ,10851,ALEJANDRA LASCURAIN ESCALANTE,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10851
PAN,JORGE ALBERTO LARA RIVERA,10863,ISRAEL PEREZ DE GANTE,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10863
PAN,AMERICA ALEJANDRA RANGEL LORENZANA,10865,GRACIELA EVODIA MARTINEZ FUENTES,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10865
PAN,EDUARDO ISMAEL AGUILAR SIERRA,,JUAN PABLO OLIVEROS VALDOVINOS,False,
PAN,LORENA RIOS MARTINEZ,,MARIA TERESA ESTRADA MONROY,False,
PAN,HECTOR SAUL TELLEZ HERNANDEZ,,GUSTAVO MARTINEZ JUAMBELZ,False,
PAN,MONICA LETICIA SERRANO PEÑA,10881,GUADALUPE VIOLETA CRUZ ESPONDA,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10881
PAN,JORGE PALACIOS ARROYO,10883,JOSE MANUEL OROZCO GARCIA,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10883
PAN,SILVIA ESTHER PEREZ CEBALLOS,,GLORIA ALEJANDRA LANDA PEÑA,False,
PAN,JESUS RAUL SANCHEZ SANCHEZ,,JORGE ISRAEL CARRASCO CAMPOS,False,
PAN,ROSAURA VIRGINIA DENEGRE VAUGHT RAMIREZ,10889,SOFIA FIGUEROA TORRES,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10889
PAN,ALEJANDRO AVILES GOMEZ,,RODRIGO JOSUE GAZCON QUINTANA,False,
PAN,SANDRA SUSANA MARTINEZ CASTRO,,ALMA LORENA GAMBOA MENDOZA,False,
PAN,JORGE REAL SANCHEZ,,ISMAEL DAGOBERTO MONROY NOLASCO,False,
PAN,MARIA TERESA GUADALUPE TOCA GUTIERREZ,,JUANA CONCEPCION CUSI SOLANA,False,
PAN,LEOVIGILDO CHAVEZ LOPEZ,10899,FERNANDO DIAZ BARRIGA HERNANDEZ,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10899
PAN,MARIA GUADALUPE CHAPELA Y MENDOZA,10901,CECILIA ZARAGOZA PEREZ,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10901
PAN,GILBERTO ADRIAN HERNANDEZ VAZQUEZ,,ADRIAN CESAR VALLE RAMIREZ,False,
PAN,ANA YOSELYN VILLAGRAN VILLASANA,10905,ELSA ALICIA MONTSERRAT LLARENA JIMENEZ,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10905
PAN,BENITO SOTELO VILLA,10907,ZINHUE SAMUEL SILVESTRE GUZMAN AYALA,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10907
PAN,DIANA MARIA TERESA LARA CARREON,10909,FRANCHELIA DANIEL AVILES,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10909
PAN,MAURICIO ROBLES CORTES,10911,GUILLERMO EDUARDO LOPEZ ESCOBEDO,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10911
PAN,ELIZABETH MARIN ROLDAN,,CLAUDIA PAOLA GONZALEZ GONZALEZ,False,
PAN,MIGUEL ANGEL OCANO OPENGO,10915,JESUS HERNANDEZ MEDINA,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10915
PAN,ROSALIND PAMELA RAMIREZ HERNANDEZ,10917,PATRICIA CHAVEZ GARCES,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10917
PAN,EDUARDO HERNANDEZ ROJAS,,LUIS ALBERTO RODRIGUEZ TAPIA,False,
PAN,KAREN GONZALEZ RODRIGUEZ,10921,MARIANA ZARAHI RANGEL OLIVA,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10921
PAN,JACOBO MANFREDO BONILLA CEDILLO,,LUIS JAVIER VALENCIA VILLA,False,
PAN,LAURA SUSANA OROPEZA MORALES,10925,AURORA VERGARA DIAZ,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10925
