id_candidato,nombre_completo_limpio,sexo_genero,partido,cargo,entidad,eleccion,educacion,nivel_educativo_estandarizado,escala_educativa,educacion_significativa
37184,Francisco Javier Luevano Nuñez,M,3,Diputado Federal MR,1.0,1,11,NO_ESPECIFICADO,NA,NA
77476,Juan Carlos Gomez Aranda,M,3,Diputado Federal MR,7.0,7,9,NO_ESPECIFICADO,NA,NA
32381,Claudia de los Angeles Trujillo Rincon,M,3,Diputado Federal MR,7.0,7,9,NO_ESPECIFICADO,NA,NA
32192,Araceli Garcia Rico,M,1,Diputado Federal MR,9.0,9,4,NO_ESPECIFICADO,NA,NA
36435,Karla Almanza Garcia,M,1,Diputado Federal MR,9.0,9,4,NO_ESPECIFICADO,NA,NA
51820,Ricardo Janecarlo Lozano Reynoso,M,3,Diputado Federal MR,9.0,9,9,NO_ESPECIFICADO,NA,NA
30648,Hector Hugo Hernandez Rodriguez,M,3,Diputado Federal MR,9.0,9,9,NO_ESPECIFICADO,NA,NA
38101,Leslie Staines Formoso,M,3,Diputado Federal MR,9.0,9,9,NO_ESPECIFICADO,NA,NA
30690,Abril Yannette Trujillo Vazquez,M,3,Diputado Federal MR,9.0,9,11,NO_ESPECIFICADO,NA,NA
50168,Pablo Gómez Alvarez,M,3,Diputado Federal MR,9.0,9,10,NO_ESPECIFICADO,NA,NA
53723,Martha Marcela Marcos Wong,M,3,Diputado Federal MR,5.0,5,9,NO_ESPECIFICADO,NA,NA
32122,Augusto Fernando Avalos Longoria,M,3,Diputado Federal MR,10.0,10,4,NO_ESPECIFICADO,NA,NA
33190,Ector Jaime Ramirez Barba,M,3,Diputado Federal MR,11.0,11,1,NO_ESPECIFICADO,NA,NA
39158,Azucena Salazar Pineda,M,3,Diputado Federal MR,12.0,12,4,NO_ESPECIFICADO,NA,NA
32438,Ninel Salazar Bazan,M,3,Diputado Federal MR,12.0,12,12,NO_ESPECIFICADO,NA,NA
31615,Eduardo Ron Ramos,M,3,Diputado Federal MR,14.0,14,9,NO_ESPECIFICADO,NA,NA
31633,Mario Alberto Rodriguez Carrillo,M,3,Diputado Federal MR,14.0,14,1,NO_ESPECIFICADO,NA,NA
31663,Fabiola Raquel Guadalupe Loya Hernandez,M,3,Diputado Federal MR,14.0,14,7,NO_ESPECIFICADO,NA,NA
31683,Juan Carlos Villarreal Salazar,M,3,Diputado Federal MR,14.0,14,5,NO_ESPECIFICADO,NA,NA
31698,Geraldina Isabel Herrera Vega,M,3,Diputado Federal MR,14.0,14,7,NO_ESPECIFICADO,NA,NA
56576,Rodrigo Cerda Cornejo,M,4,Diputado Federal MR,14.0,14,9,NO_ESPECIFICADO,NA,NA
31718,Kehila Abigail Ku Escalante,M,3,Diputado Federal MR,14.0,14,4,NO_ESPECIFICADO,NA,NA
31728,Adriana Gabriela Medina Ortiz,M,3,Diputado Federal MR,14.0,14,9,NO_ESPECIFICADO,NA,NA
31738,Lourdes Celenia Contreras Gonzalez,M,3,Diputado Federal MR,14.0,14,9,NO_ESPECIFICADO,NA,NA
33775,Juan Francisco Ramirez Salcido,M,3,Diputado Federal MR,14.0,14,9,NO_ESPECIFICADO,NA,NA
31786,Juan Martin Espinoza Cardenas,M,3,Diputado Federal MR,14.0,14,9,NO_ESPECIFICADO,NA,NA
32138,Monica Almeida Lopez,M,3,Diputado Federal MR,14.0,14,1,NO_ESPECIFICADO,NA,NA
31934,Ana Priscila Gonzalez Garcia,M,3,Diputado Federal MR,14.0,14,9,NO_ESPECIFICADO,NA,NA
42753,Jose Antonio Medina Vega,M,3,Diputado Federal MR,15.0,15,9,NO_ESPECIFICADO,NA,NA
37495,Maria Juana Rojas Coate,M,3,Diputado Federal MR,15.0,15,12,NO_ESPECIFICADO,NA,NA
38114,Rocio Guzman Suarez,M,3,Diputado Federal MR,15.0,15,9,NO_ESPECIFICADO,NA,NA
31980,Miriam Carranza Trinidad,M,3,Diputado Federal MR,15.0,15,9,NO_ESPECIFICADO,NA,NA
36729,Ruth Gabriela Goldschmied Guasch,M,3,Diputado Federal MR,15.0,15,2,NO_ESPECIFICADO,NA,NA
32542,Elvia Isojo Velasquez,M,3,Diputado Federal MR,15.0,15,4,NO_ESPECIFICADO,NA,NA
32216,Ruth Salinas Reyes,M,3,Diputado Federal MR,15.0,15,4,NO_ESPECIFICADO,NA,NA
32548,Manuel Antunez Alvarez,M,3,Diputado Federal MR,16.0,16,9,NO_ESPECIFICADO,NA,NA
38112,Fabiola Alejandra Pazos Arce,M,1,Diputado Federal MR,17.0,17,9,NO_ESPECIFICADO,NA,NA
38284,Arlen Virginia Meza Paz,M,1,Diputado Federal MR,17.0,17,11,NO_ESPECIFICADO,NA,NA
78578,Ana Maria Escobar Roman,M,1,Diputado Federal MR,17.0,17,12,NO_ESPECIFICADO,NA,NA
38316,Jose Juan Tovilla Marin,M,1,Diputado Federal MR,17.0,17,9,NO_ESPECIFICADO,NA,NA
37855,Ivideliza Reyes Hernandez,M,3,Diputado Federal MR,18.0,18,7,NO_ESPECIFICADO,NA,NA
33029,Carolina Maria Garza Guerra,M,1,Diputado Federal MR,19.0,19,4,NO_ESPECIFICADO,NA,NA
33180,Adoniram Rodriguez Ramirez,M,1,Diputado Federal MR,19.0,19,9,NO_ESPECIFICADO,NA,NA
33328,Agustin Carlos Basave Alanis,M,1,Diputado Federal MR,19.0,19,4,NO_ESPECIFICADO,NA,NA
33483,Haydee del Carmen Medina Herrera,M,1,Diputado Federal MR,19.0,19,9,NO_ESPECIFICADO,NA,NA
33505,Ivonne Casado Cabrero,M,1,Diputado Federal MR,19.0,19,4,NO_ESPECIFICADO,NA,NA
38631,Javier Gerardo Gutierrez Cavazos,M,1,Diputado Federal MR,19.0,19,9,NO_ESPECIFICADO,NA,NA
33563,Roberto Eduardo Adame Ochoa,M,1,Diputado Federal MR,19.0,19,9,NO_ESPECIFICADO,NA,NA
33625,Ricardo Eduardo Lavin Salazar,M,1,Diputado Federal MR,19.0,19,3,NO_ESPECIFICADO,NA,NA
33666,Maria Magnolia Vidales Gonzalez,M,1,Diputado Federal MR,19.0,19,5,NO_ESPECIFICADO,NA,NA
56651,Alejandro Eric Cruz Juarez,M,4,Diputado Federal MR,20.0,20,9,NO_ESPECIFICADO,NA,NA
38506,Norma Estela Pimentel Méndez,M,1,Diputado Federal MR,21.0,21,1,NO_ESPECIFICADO,NA,NA
32400,Esau Magallanes Alonso,M,3,Diputado Federal MR,22.0,22,9,NO_ESPECIFICADO,NA,NA
38110,Felipe Fernando Macias Olvera,M,3,Diputado Federal MR,22.0,22,9,NO_ESPECIFICADO,NA,NA
38095,Ana Paola Lopez Birlain,M,3,Diputado Federal MR,22.0,22,9,NO_ESPECIFICADO,NA,NA
33481,Miguel Ramon Martin Azueta,M,3,Diputado Federal MR,23.0,23,9,NO_ESPECIFICADO,NA,NA
33723,Juan Jose Jover Navarro,M,3,Diputado Federal MR,24.0,24,9,NO_ESPECIFICADO,NA,NA
