id_candidato,nombre_completo_limpio,sexo_genero,partido,cargo,entidad,eleccion,ideology_classification,economic_axis,social_axis,populist_tendency,nationalist_tendency,current_political_alignment,economic_left_score,economic_right_score,social_progressive_score,social_conservative_score,populist_score,nationalist_score,amlo_4t_score,opposition_score
37184,Francisco Javier Luevano Nuñez,M,3,Diputado Federal MR,1.0,1,POPULISTA_NACIONALISTA_IZQUIERDA_TRADICIONAL,,,,,,,,,,,,,
77476,Juan Carlos Gomez Aranda,M,3,Diputado Federal MR,7.0,7,IZQUIERDA_TRADICIONAL,,,,,,,,,,,,,
32381,Claudia de los Angeles Trujillo Rincon,M,3,Diputado Federal MR,7.0,7,IZQUIERDA_TRADICIONAL,,,,,,,,,,,,,
32192,Araceli Garcia Rico,M,1,Diputado Federal MR,9.0,9,POPULISTA_NACIONALISTA_IZQUIERDA_TRADICIONAL,,,,,,,,,,,,,
36435,Karla Almanza Garcia,M,1,Diputado Federal MR,9.0,9,NACIONALISTA_DERECHA_CONSERVADORA,,,,,,,,,,,,,
51820,Ricardo Janecarlo Lozano Reynoso,M,3,Diputado Federal MR,9.0,9,IZQUIERDA_TRADICIONAL,,,,,,,,,,,,,
30648,Hector Hugo Hernandez Rodriguez,M,3,Diputado Federal MR,9.0,9,IZQUIERDA_TRADICIONAL,,,,,,,,,,,,,
38101,Leslie Staines Formoso,M,3,Diputado Federal MR,9.0,9,IZQUIERDA_TRADICIONAL,,,,,,,,,,,,,
30690,Abril Yannette Trujillo Vazquez,M,3,Diputado Federal MR,9.0,9,POPULISTA_IZQUIERDA_TRADICIONAL,,,,,,,,,,,,,
50168,Pablo Gómez Alvarez,M,3,Diputado Federal MR,9.0,9,POPULISTA_IZQUIERDA_TRADICIONAL,,,,,,,,,,,,,
53723,Martha Marcela Marcos Wong,M,3,Diputado Federal MR,5.0,5,CENTRO_CONSERVADOR,,,,,,,,,,,,,
32122,Augusto Fernando Avalos Longoria,M,3,Diputado Federal MR,10.0,10,POPULISTA_CENTRO_CONSERVADOR,,,,,,,,,,,,,
33190,Ector Jaime Ramirez Barba,M,3,Diputado Federal MR,11.0,11,POPULISTA_NACIONALISTA_OPOSICION_IZQUIERDA_TRADICIONAL,,,,,,,,,,,,,
39158,Azucena Salazar Pineda,M,3,Diputado Federal MR,12.0,12,POPULISTA_NACIONALISTA_IZQUIERDA_TRADICIONAL,,,,,,,,,,,,,
32438,Ninel Salazar Bazan,M,3,Diputado Federal MR,12.0,12,POPULISTA_IZQUIERDA_MODERADA,,,,,,,,,,,,,
31615,Eduardo Ron Ramos,M,3,Diputado Federal MR,14.0,14,IZQUIERDA_TRADICIONAL,,,,,,,,,,,,,
31633,Mario Alberto Rodriguez Carrillo,M,3,Diputado Federal MR,14.0,14,POPULISTA_NACIONALISTA_IZQUIERDA_TRADICIONAL,,,,,,,,,,,,,
31663,Fabiola Raquel Guadalupe Loya Hernandez,M,3,Diputado Federal MR,14.0,14,IZQUIERDA_TRADICIONAL,,,,,,,,,,,,,
31683,Juan Carlos Villarreal Salazar,M,3,Diputado Federal MR,14.0,14,IZQUIERDA_TRADICIONAL,,,,,,,,,,,,,
31698,Geraldina Isabel Herrera Vega,M,3,Diputado Federal MR,14.0,14,CENTRO_CONSERVADOR,,,,,,,,,,,,,
56576,Rodrigo Cerda Cornejo,M,4,Diputado Federal MR,14.0,14,IZQUIERDA_TRADICIONAL,,,,,,,,,,,,,
31718,Kehila Abigail Ku Escalante,M,3,Diputado Federal MR,14.0,14,IZQUIERDA_TRADICIONAL,,,,,,,,,,,,,
31728,Adriana Gabriela Medina Ortiz,M,3,Diputado Federal MR,14.0,14,IZQUIERDA_TRADICIONAL,,,,,,,,,,,,,
31738,Lourdes Celenia Contreras Gonzalez,M,3,Diputado Federal MR,14.0,14,CENTRO_CONSERVADOR,,,,,,,,,,,,,
33775,Juan Francisco Ramirez Salcido,M,3,Diputado Federal MR,14.0,14,DERECHA_CONSERVADORA,,,,,,,,,,,,,
31786,Juan Martin Espinoza Cardenas,M,3,Diputado Federal MR,14.0,14,IZQUIERDA_TRADICIONAL,,,,,,,,,,,,,
32138,Monica Almeida Lopez,M,3,Diputado Federal MR,14.0,14,IZQUIERDA_TRADICIONAL,,,,,,,,,,,,,
31934,Ana Priscila Gonzalez Garcia,M,3,Diputado Federal MR,14.0,14,POPULISTA_IZQUIERDA_TRADICIONAL,,,,,,,,,,,,,
42753,Jose Antonio Medina Vega,M,3,Diputado Federal MR,15.0,15,POPULISTA_CENTRO_CONSERVADOR,,,,,,,,,,,,,
37495,Maria Juana Rojas Coate,M,3,Diputado Federal MR,15.0,15,POPULISTA_NACIONALISTA_IZQUIERDA_TRADICIONAL,,,,,,,,,,,,,
38114,Rocio Guzman Suarez,M,3,Diputado Federal MR,15.0,15,OPOSICION_IZQUIERDA_TRADICIONAL,,,,,,,,,,,,,
31980,Miriam Carranza Trinidad,M,3,Diputado Federal MR,15.0,15,CENTRO_CONSERVADOR,,,,,,,,,,,,,
36729,Ruth Gabriela Goldschmied Guasch,M,3,Diputado Federal MR,15.0,15,NACIONALISTA_IZQUIERDA_MODERADA,,,,,,,,,,,,,
32542,Elvia Isojo Velasquez,M,3,Diputado Federal MR,15.0,15,CENTRO_CONSERVADOR,,,,,,,,,,,,,
32216,Ruth Salinas Reyes,M,3,Diputado Federal MR,15.0,15,DERECHA_CONSERVADORA,,,,,,,,,,,,,
32548,Manuel Antunez Alvarez,M,3,Diputado Federal MR,16.0,16,POPULISTA_IZQUIERDA_TRADICIONAL,,,,,,,,,,,,,
38112,Fabiola Alejandra Pazos Arce,M,1,Diputado Federal MR,17.0,17,CENTRO_CONSERVADOR,,,,,,,,,,,,,
38284,Arlen Virginia Meza Paz,M,1,Diputado Federal MR,17.0,17,POPULISTA_NACIONALISTA_IZQUIERDA_TRADICIONAL,,,,,,,,,,,,,
78578,Ana Maria Escobar Roman,M,1,Diputado Federal MR,17.0,17,DERECHA_CONSERVADORA,,,,,,,,,,,,,
38316,Jose Juan Tovilla Marin,M,1,Diputado Federal MR,17.0,17,DERECHA_CONSERVADORA,,,,,,,,,,,,,
37855,Ivideliza Reyes Hernandez,M,3,Diputado Federal MR,18.0,18,IZQUIERDA_TRADICIONAL,,,,,,,,,,,,,
33029,Carolina Maria Garza Guerra,M,1,Diputado Federal MR,19.0,19,IZQUIERDA_TRADICIONAL,,,,,,,,,,,,,
33180,Adoniram Rodriguez Ramirez,M,1,Diputado Federal MR,19.0,19,DERECHA_CONSERVADORA,,,,,,,,,,,,,
33328,Agustin Carlos Basave Alanis,M,1,Diputado Federal MR,19.0,19,POPULISTA_IZQUIERDA_TRADICIONAL,,,,,,,,,,,,,
