id_candidato,nombre_completo_limpio,sexo_genero,partido,cargo,entidad,eleccion,experience_sector_dominant,total_public_experience_years,total_private_experience_years,economic_axis,social_axis
37184,Francisco Javier Luevano Nuñez,M,3,Diputado Federal MR,1.0,1,Público,17,16,,
77476,Juan Carlos Gomez Aranda,M,3,Diputado Federal MR,7.0,7,Sin Experiencia Detectada,0,0,,
32381,Claudia de los Angeles Trujillo Rincon,M,3,Diputado Federal MR,7.0,7,Público,3,2,,
32192,Araceli Garcia Rico,M,1,Diputado Federal MR,9.0,9,Mixto,17,17,,
36435,Karla Almanza Garcia,M,1,Diputado Federal MR,9.0,9,Mixto,10,10,,
51820,Ricardo Janecarlo Lozano Reynoso,M,3,Diputado Federal MR,9.0,9,Mixto,3,3,,
30648,Hector Hugo Hernandez Rodriguez,M,3,Diputado Federal MR,9.0,9,Mixto,7,7,,
38101,Leslie Staines Formoso,M,3,Diputado Federal MR,9.0,9,Mixto,10,10,,
30690,Abril Yannette Trujillo Vazquez,M,3,Diputado Federal MR,9.0,9,Público,14,13,,
50168,Pablo Gómez Alvarez,M,3,Diputado Federal MR,9.0,9,Público,14,13,,
53723,Martha Marcela Marcos Wong,M,3,Diputado Federal MR,5.0,5,Mixto,3,3,,
32122,Augusto Fernando Avalos Longoria,M,3,Diputado Federal MR,10.0,10,Privado,3,19,,
33190,Ector Jaime Ramirez Barba,M,3,Diputado Federal MR,11.0,11,Mixto,13,13,,
39158,Azucena Salazar Pineda,M,3,Diputado Federal MR,12.0,12,Mixto,3,3,,
32438,Ninel Salazar Bazan,M,3,Diputado Federal MR,12.0,12,Mixto,11,11,,
31615,Eduardo Ron Ramos,M,3,Diputado Federal MR,14.0,14,Mixto,9,9,,
31633,Mario Alberto Rodriguez Carrillo,M,3,Diputado Federal MR,14.0,14,Público,15,4,,
31663,Fabiola Raquel Guadalupe Loya Hernandez,M,3,Diputado Federal MR,14.0,14,Mixto,5,5,,
31683,Juan Carlos Villarreal Salazar,M,3,Diputado Federal MR,14.0,14,Mixto,4,4,,
31698,Geraldina Isabel Herrera Vega,M,3,Diputado Federal MR,14.0,14,Sin Experiencia Detectada,0,0,,
56576,Rodrigo Cerda Cornejo,M,4,Diputado Federal MR,14.0,14,Mixto,9,9,,
31718,Kehila Abigail Ku Escalante,M,3,Diputado Federal MR,14.0,14,Público,6,5,,
31728,Adriana Gabriela Medina Ortiz,M,3,Diputado Federal MR,14.0,14,Público,12,0,,
31738,Lourdes Celenia Contreras Gonzalez,M,3,Diputado Federal MR,14.0,14,Público,9,7,,
33775,Juan Francisco Ramirez Salcido,M,3,Diputado Federal MR,14.0,14,Público,6,4,,
31786,Juan Martin Espinoza Cardenas,M,3,Diputado Federal MR,14.0,14,Público,18,10,,
32138,Monica Almeida Lopez,M,3,Diputado Federal MR,14.0,14,Privado,2,4,,
31934,Ana Priscila Gonzalez Garcia,M,3,Diputado Federal MR,14.0,14,Público,12,3,,
42753,Jose Antonio Medina Vega,M,3,Diputado Federal MR,15.0,15,Mixto,11,11,,
37495,Maria Juana Rojas Coate,M,3,Diputado Federal MR,15.0,15,Mixto,19,19,,
38114,Rocio Guzman Suarez,M,3,Diputado Federal MR,15.0,15,Mixto,7,7,,
31980,Miriam Carranza Trinidad,M,3,Diputado Federal MR,15.0,15,Mixto,6,6,,
36729,Ruth Gabriela Goldschmied Guasch,M,3,Diputado Federal MR,15.0,15,Privado,14,16,,
32542,Elvia Isojo Velasquez,M,3,Diputado Federal MR,15.0,15,Mixto,5,5,,
32216,Ruth Salinas Reyes,M,3,Diputado Federal MR,15.0,15,Público,2,0,,
32548,Manuel Antunez Alvarez,M,3,Diputado Federal MR,16.0,16,Mixto,3,3,,
38112,Fabiola Alejandra Pazos Arce,M,1,Diputado Federal MR,17.0,17,Mixto,18,18,,
38284,Arlen Virginia Meza Paz,M,1,Diputado Federal MR,17.0,17,Privado,3,8,,
78578,Ana Maria Escobar Roman,M,1,Diputado Federal MR,17.0,17,Privado,13,17,,
38316,Jose Juan Tovilla Marin,M,1,Diputado Federal MR,17.0,17,Mixto,13,13,,
37855,Ivideliza Reyes Hernandez,M,3,Diputado Federal MR,18.0,18,Público,16,10,,
33029,Carolina Maria Garza Guerra,M,1,Diputado Federal MR,19.0,19,Privado,8,16,,
33180,Adoniram Rodriguez Ramirez,M,1,Diputado Federal MR,19.0,19,Mixto,13,13,,
33328,Agustin Carlos Basave Alanis,M,1,Diputado Federal MR,19.0,19,Mixto,1,1,,
33483,Haydee del Carmen Medina Herrera,M,1,Diputado Federal MR,19.0,19,Privado,0,5,,
33505,Ivonne Casado Cabrero,M,1,Diputado Federal MR,19.0,19,Mixto,3,3,,
38631,Javier Gerardo Gutierrez Cavazos,M,1,Diputado Federal MR,19.0,19,Mixto,2,2,,
33563,Roberto Eduardo Adame Ochoa,M,1,Diputado Federal MR,19.0,19,Mixto,1,1,,
33625,Ricardo Eduardo Lavin Salazar,M,1,Diputado Federal MR,19.0,19,Sin Experiencia Detectada,0,0,,
33666,Maria Magnolia Vidales Gonzalez,M,1,Diputado Federal MR,19.0,19,Sin Experiencia Detectada,0,0,,
56651,Alejandro Eric Cruz Juarez,M,4,Diputado Federal MR,20.0,20,Privado,16,17,,
38506,Norma Estela Pimentel Méndez,M,1,Diputado Federal MR,21.0,21,Sin Experiencia Detectada,0,0,,
32400,Esau Magallanes Alonso,M,3,Diputado Federal MR,22.0,22,Mixto,6,6,,
38110,Felipe Fernando Macias Olvera,M,3,Diputado Federal MR,22.0,22,Mixto,12,12,,
38095,Ana Paola Lopez Birlain,M,3,Diputado Federal MR,22.0,22,Mixto,5,5,,
33481,Miguel Ramon Martin Azueta,M,3,Diputado Federal MR,23.0,23,Público,18,16,,
33723,Juan Jose Jover Navarro,M,3,Diputado Federal MR,24.0,24,Público,10,5,,
37892,Adolfo Rojo Montoya,M,3,Diputado Federal MR,25.0,25,Mixto,18,18,,
33662,Luis Javier de la Rocha Zazueta,M,3,Diputado Federal MR,25.0,25,Mixto,8,8,,
31978,Rita Olivia Burgos Villaescusa,M,3,Diputado Federal MR,26.0,26,Mixto,9,9,,
31842,Veronica Isabel Montoya Uriarte,M,3,Diputado Federal MR,26.0,26,Privado,4,6,,
42701,Guillermo Torres Lopez,M,3,Diputado Federal MR,27.0,27,Mixto,12,12,,
43541,Veronica Salazar Vasquez,M,3,Diputado Federal MR,28.0,28,Mixto,4,4,,
37946,Sandra Corona Padilla,M,3,Diputado Federal MR,29.0,29,Mixto,1,1,,
31627,Rodolfo Guadalupe Quiroz Mar,M,3,Diputado Federal MR,30.0,30,Privado,8,10,,
31573,Eduardo Sanchez Macias,M,3,Diputado Federal MR,30.0,30,Mixto,12,12,,
31450,Hugo Chahin Maluly,M,3,Diputado Federal MR,30.0,30,Mixto,19,19,,
31214,Maria Sol Arroniz de la Huerta,M,3,Diputado Federal MR,30.0,30,Mixto,8,8,,
40871,Rosa Maria Lozano Aldrete,M,3,Diputado Federal MR,32.0,32,Privado,4,15,,
37184,Francisco Javier Luevano Nuñez,M,3,Diputado Federal MR,1.0,1,Público,17,16,,
77476,Juan Carlos Gomez Aranda,M,3,Diputado Federal MR,7.0,7,Sin Experiencia Detectada,0,0,,
32381,Claudia de los Angeles Trujillo Rincon,M,3,Diputado Federal MR,7.0,7,Público,3,2,,
32192,Araceli Garcia Rico,M,1,Diputado Federal MR,9.0,9,Mixto,17,17,,
36435,Karla Almanza Garcia,M,1,Diputado Federal MR,9.0,9,Mixto,10,10,,
51820,Ricardo Janecarlo Lozano Reynoso,M,3,Diputado Federal MR,9.0,9,Mixto,3,3,,
30648,Hector Hugo Hernandez Rodriguez,M,3,Diputado Federal MR,9.0,9,Mixto,7,7,,
38101,Leslie Staines Formoso,M,3,Diputado Federal MR,9.0,9,Mixto,10,10,,
30690,Abril Yannette Trujillo Vazquez,M,3,Diputado Federal MR,9.0,9,Público,14,13,,
50168,Pablo Gómez Alvarez,M,3,Diputado Federal MR,9.0,9,Público,14,13,,
53723,Martha Marcela Marcos Wong,M,3,Diputado Federal MR,5.0,5,Mixto,3,3,,
32122,Augusto Fernando Avalos Longoria,M,3,Diputado Federal MR,10.0,10,Privado,3,19,,
33190,Ector Jaime Ramirez Barba,M,3,Diputado Federal MR,11.0,11,Mixto,13,13,,
39158,Azucena Salazar Pineda,M,3,Diputado Federal MR,12.0,12,Mixto,3,3,,
32438,Ninel Salazar Bazan,M,3,Diputado Federal MR,12.0,12,Mixto,11,11,,
31615,Eduardo Ron Ramos,M,3,Diputado Federal MR,14.0,14,Mixto,9,9,,
31633,Mario Alberto Rodriguez Carrillo,M,3,Diputado Federal MR,14.0,14,Público,15,4,,
31663,Fabiola Raquel Guadalupe Loya Hernandez,M,3,Diputado Federal MR,14.0,14,Mixto,5,5,,
31683,Juan Carlos Villarreal Salazar,M,3,Diputado Federal MR,14.0,14,Mixto,4,4,,
31698,Geraldina Isabel Herrera Vega,M,3,Diputado Federal MR,14.0,14,Sin Experiencia Detectada,0,0,,
56576,Rodrigo Cerda Cornejo,M,4,Diputado Federal MR,14.0,14,Mixto,9,9,,
31718,Kehila Abigail Ku Escalante,M,3,Diputado Federal MR,14.0,14,Público,6,5,,
31728,Adriana Gabriela Medina Ortiz,M,3,Diputado Federal MR,14.0,14,Público,12,0,,
31738,Lourdes Celenia Contreras Gonzalez,M,3,Diputado Federal MR,14.0,14,Público,9,7,,
33775,Juan Francisco Ramirez Salcido,M,3,Diputado Federal MR,14.0,14,Público,6,4,,
31786,Juan Martin Espinoza Cardenas,M,3,Diputado Federal MR,14.0,14,Público,18,10,,
32138,Monica Almeida Lopez,M,3,Diputado Federal MR,14.0,14,Privado,2,4,,
31934,Ana Priscila Gonzalez Garcia,M,3,Diputado Federal MR,14.0,14,Público,12,3,,
42753,Jose Antonio Medina Vega,M,3,Diputado Federal MR,15.0,15,Mixto,11,11,,
